CÓDIGO;FREQ;SUST;Info de complementos;Funcionan sin?;SIGNIFICADO;info plus;ENUNCIADO;;;;;;;;;;;;;;;;;;;;
PHNI-0029;1;hombre;⍬;Sí;METONÍMICO: con las mejores características;;Papá se hizo un hombre en Pennsylvania y cuando terminó sus estudios en administración de empresas aceptó encargarse de una de las fábricas de confección de la familia en Panamá;;;;;;;;;;;;;;;;;;;;
PHNI-0030;1;ídolo;del boxeo;SÍ;adorado;;En esa ciudad norteamericana se hizo un ídolo del boxeo, querido por su valentía y actuación limpia, casi como amateur, tanto dentro como fuera del entablado...;;;;;;;;;;;;;;;;;;;;
PHNI-0031;1;leyenda;⍬;Sí;referente admirado;;Así fue como Pielrroja se hizo una leyenda en el San fosé de los años cincuenta.;;;;;;;;;;;;;;;;;;;;
PHNI-0032;1;leyenda;⍬;Sí;referente admirado;;después fueron las telenovelas y la música, ahora Místico tiene un disco con sus canciones favoritas y la propuesta para hacerse una leyenda en el cine.;;;;;;;;;;;;;;;;;;;;
PHNI-0033;1;mar;⍬;Sí;inundado;; Los más viejos del pueblo cuentan que hubo un año que llovió mucho, llovió tanto que el río de mi pueblo se hizo un mar y vino a recalar una ballena blanca. ;;;;;;;;;;;;;;;;;;;;
PHNI-0034;1;mujer;⍬;Sí;METONÍMICO: con las mejores características;;Hazte un hombre mientras mi hija se hace una mujer y te prometo que cuando estés preparado podrás casarte con ella.;;;;;;;;;;;;;;;;;;;;
PHNI-0035;1;mujer;⍬;Sí;METONÍMICO: con las mejores características;;La niña está bien, haciéndose una mujer para el futuro.;;;;;;;;;;;;;;;;;;;;
PHNI-0036;1;mujer;⍬;Sí;METONÍMICO: con las mejores características;;te hagas una mujer allá, porque no hay más remedio, Puzita, entre hojas y pájaros, allá en la cumbre de la morera, tú has escogido el cielo.;;;;;;;;;;;;;;;;;;;;
PHNI-0037;1;mundo;aislado;Sí;independiente;;Los 'padres fundadores' de ese inmenso éxito que ha sido el proyecto nacional de EE UU llegaron a aquel suelo decididos, por un lado, a hacerse un mundo aislado de Europa, ;;;;;;;;;;;;;;;;;;;;
PHNI-0038;1;murmullo;⍬;Sí;inaudible;;Su voz se hizo un murmullo y me pareció que hizo alguna seña de alejarse a don Pepe y al fotógrafo porque no los vi en la puerta cuando Alucema entró con la bebida.;;;;;;;;;;;;;;;;;;;;
PHNI-0039;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Araña toma su maleta e impetuosa se lanza al camino, a ratos corre o se hace un ovillo y se lanza por la pendiente de una colina,;;;;;;;;;;;;;;;;;;;;
PHNI-0040;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;El invierno no pretende consolar pero, a fin de cuentas, yo siento que consuela porque una se hace un ovillo sobre sí misma y se protege y observa y reflexiona;;;;;;;;;;;;;;;;;;;;
PHNI-0041;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Una tortura para los defensas rojiblancos, que se hacen un ovillo ante cualquiera y tiemblan con la pelota al pie.;;;;;;;;;;;;;;;;;;;;
