CODIGO;token;;significado;enunciado
PHAD-366;1;estúpido;;no te hagas el estúpido. Digo
PHAD-408;1;fuerte;;no te hagas el fuerte, no
PHAD-434;1;gracioso;;no te hagas el gracioso (...)
PHAD-435;1;gracioso;;no te hagas el gracioso conmigo
PHAD-437;1;gracioso;;no te hagas el gracioso, abominación
PHAD-444;1;gracioso;;no te hagas el gracioso. 
PHAD-445;1;gracioso;;no te hagas el gracioso. 
PHAD-446;1;gracioso;;no te hagas el gracioso. 
PHAD-448;1;gracioso;;no te hagas el gracioso. 
PHAD-447;1;gracioso;;no te hagas el gracioso. Desde
PHAD-449;1;gracioso;;no te hagas el gracioso... Sabemos
PHAD-590;1;inocente;;no te hagas el inocente, Oseas.
PHAD-600;1;inocente;;no te hagas el inocente. ¿O
PHAD-695;1;irónico;;no te hagas el irónico que
PHAD-725;1;listo;;no te hagas el listo conmigo...
PHAD-726;1;listo;;no te hagas el listo porque
PHAD-728;1;listo;;no te hagas el listo, vete
PHAD-907;1;modesto;;no te hagas el modesto, ¿cómo
PHAD-914;1;mudo;;no te hagas el mudo. Por
PHAD-965;1;occiso;;no te hagas el occiso, dile
PHAD-966;1;occiso;;no te hagas el occiso, ven
PHAD-1118;1;simpático;;no te hagas el simpático, Canario,
PHAD-1159;1;sordo;;no te hagas el sordo y,
PHAD-1168;1;sordo;;no te hagas el sordo, Raúl.
PHAD-1169;1;sordo;;no te hagas el sordo! me
PHAD-1357;1;valiente;;no te hagas el valiente conmigo...
PHAD-1361;1;valiente;;no te hagas el valiente, güey.
PHAD-1383;1;vivo;;no te hagas el vivo, Cholo,
PHAD-1384;1;vivo;;no te hagas el vivo, estamos
PHAD-1382;1;vivo;;no te hagas el vivo, porque
PHAD-1387;1;vivo;;no te hagas el vivo: los
PHAD-1390;1;vivo;;no te hagas el vivo. 
PHAD-1391;1;vivo;;no te hagas el vivo. 
PHAD-1389;1;vivo;;no te hagas el vivo. Total,
PHAD-1392;1;vivo;;no te hagas el vivo.' 
PHAD-136;1;ciego;;no te hagas la ciega. Tú
PHAD-206;1;difícil;;no te hagas la difícil
PHAD-205;1;difícil;;no te hagas la difícil conmigo.
PHAD-209;1;difícil;;no te hagas la difícil, chica.
PHAD-256;1;duro;;no te hagas la dura! ¡Sé
PHAD-350;1;estrecho;;no te hagas la estrecha, guapa!
PHAD-349;1;estrecho;;no te hagas la estrecha, tía,
PHAD-355;1;estrecho;;no te hagas la estrecha. 
PHAD-356;1;estrecho;;no te hagas la estrecha. Que
PHAD-357;1;estrecho;;"no te hagas la estrecha'&mdash; "
PHAD-363;1;estúpido;;no te hagas la estúpida ¿Cuánto?
PHAD-364;1;estúpido;;no te hagas la estúpida conmigo.
PHAD-526;1;imbécil;;no te hagas la imbécil: nuestro 
PHAD-574;1;ingenuo;;no te hagas la ingenua que
PHAD-576;1;ingenuo;;no te hagas la ingenua. Quizá
PHAD-589;1;inocente;;no te hagas la inocente conmigo
PHAD-588;1;inocente;;no te hagas la inocente que
PHAD-591;1;inocente;;no te hagas la inocente, andas
PHAD-593;1;inocente;;no te hagas la inocente, que
PHAD-595;1;inocente;;no te hagas la inocente! ¿Tu
PHAD-599;1;inocente;;no te hagas la inocente. ¿O
PHAD-626;1;interesante;;no te hagas la interesante al
PHAD-627;1;interesante;;no te hagas la interesante delante
PHAD-693;1;irónico;;no te hagas la irónica conmigo.
PHAD-701;1;lánguido;;no te hagas la lánguida que
PHAD-887;1;misterioso;;no te hagas la misteriosa. Acto
PHAD-1373;1;vivo;;no te hagas la viva ¿eh?
PHAD-1374;1;vivo;;no te hagas la viva porque
PHAD-1375;1;vivo;;no te hagas la viva... 
PHAD-354;1;estrecho;;no te harás la estrecha. No
PHAD-351;1;estrecho;;no te me hagas la estrecha.
PHAD-554;1;independiente;;nos hagamos las independientes y
PHAD-81;1;borracho;;Nos hicimos los borrachos, cantamos
PHAD-1230;1;tonto;;"Nos hicimos los tontos"", dice"
PHAD-169;1;culto;;os hagáis las cultas. Yo
PHAD-14;1;apocalíptico;;Paul Ehrlich juega a hacerse el apocalíptico en la réplica de las Puertas del Infierno en la Universidad de Stanford. 
PHAD-96;1;bueno ;;Pelotuda, no vengas ahora a hacerte la buena porque estás embarazada, si siempre fuiste la misma jodida.
PHAD-149;1;cínico;;Pensé que tu presencia aquí era para hacerte el cínico.
PHAD-1350;1;tullido;;"pero hay que tener cuidado no vayan a sospechar que les est·s ""escarbando"". Te haces la tullida de la lengua, no habl·s, deja que ellas lleven el hilo,"
PHAD-389;1;favorito;;pero lo que m·s generó fue adeptos a la lectura de sus libros. Se hizo el favorito de los jóvenes literatos y de otros muchos universitarios. 
PHAD-497;1;güevón;tonto imbécil huevón-perezoso;Podés hacerte el güevón el tiempo que querás pero llega un momento en el que despertás.
PHAD-248;1;divertido;;Porta guiñó un ojo haciéndose el divertido.
PHAD-11;1;angosto;;Primaveras. ¿Primaveras?, no se hagan las angostas. Bueno, chuflay para todos, qué les parece. 
PHAD-403;1;fuerte;;Recuerdo que me hice la fuerte ante todos, especialmente al principio
PHAD-738;1;loco;;"sehace la loca"" ante"
PHAD-137;1;ciego;;se hace el ciego y
PHAD-295;1;encontradizo;;Se hace el encontradizo con
PHAD-299;1;encontradizo;;se hace el encontradizo ya
PHAD-404;1;fuerte;;se hace el fuerte para
PHAD-443;1;gracioso;;se hace el gracioso. Prometes,
PHAD-558;1;indiferente;;se hace el indiferente sin
PHAD-564;1;indiferente;;se hace el indiferente? Pues
PHAD-624;1;interesante;;se hace el interesante y
PHAD-722;1;listo;;se hace el listo y
PHAD-888;1;misterioso;;se hace el misterioso, pero
PHAD-990;1;olvidadizo;;se hace el olvidadizo, porque
PHAD-1053;1;pesado;;se hace el pesado. 
PHAD-1069;1;raro;;se hace el raro. Un
PHAD-1107;1;sensible;;Se hace el sensible, no
PHAD-1117;1;simpático;;se hace el simpático pero
PHAD-1171;1;sordo;;se hace el sordo? ¡Mire
PHAD-1174;1;sordo;;se hace el sordo. 
PHAD-1175;1;sordo;;se hace el sordo. 
PHAD-1178;1;sordo;;se hace el sordo. Hace
PHAD-1348;1;travieso;;se hace el travieso Gonzalo&
PHAD-1355;1;valiente;;se hace el valiente y
PHAD-89;1;bueno;;Se hace la buena igual que la otra. Pero no le pediré nada.
PHAD-253;1;duro;;se hace la dura conmigo,
PHAD-254;1;duro;;se hace la dura para
PHAD-291;1;encontradizo;;se hace la encontradiza para
PHAD-346;1;esquiva;;se hace la esquiva, que
PHAD-347;1;esquiva;;se hace la esquiva. Por
PHAD-352;1;estrecho;;se hace la estrecha. De
PHAD-353;1;estrecho;;se hace la estrecha. Primero
PHAD-405;1;fuerte;;se hace la fuerte para
PHAD-561;1;indiferente;;se hace la indiferente, como
PHAD-562;1;indiferente;;se hace la indiferente, con
PHAD-563;1;indiferente;;se hace la indiferente, señal
PHAD-575;1;ingenuo;;se hace la ingenua. Me
PHAD-594;1;inocente;;se hace la inocente! Con
PHAD-598;1;inocente;;se hace la inocente. 
PHAD-625;1;interesante;;se hace la interesante no
PHAD-630;1;interesante;;se hace la interesante. 
PHAD-632;1;interesante;;se hace la interesante. Es
PHAD-720;1;listo;;se hace la lista de
PHAD-869;1;malo;;se hace la mala, Un
PHAD-909;1;modesto;;se hace la molesta, piensa.
PHAD-920;1;muerto;;se hace la muerta cuando
PHAD-923;1;muerto;;se hace la muerta. Qué
PHAD-292;1;encontradizo;;se hacen las encontradizas en
PHAD-82;1;borracho;;se hacen los borrachos. Y
PHAD-185;1;despistado;;se hacen los despistados mirando
PHAD-515;1;humilde;;se hacen los humildes. 
PHAD-552;1;incauto;;se hacen los incautos, los
PHAD-633;1;interesante;;Se hacen los interesantes o
PHAD-634;1;interesante;;se hacen los interesantes. 
PHAD-1001;1;pacifista;;se hacen los pacifistas, porque
PHAD-1227;1;tonto;;se hacen los tontos o
PHAD-1394;1;vivo;;se hacen los vivos y
PHAD-208;1;difícil;;se hacía el difícil, como
