CODIGO;token;;significado;enunciado
PHAD-951;1;muerto;muerto;atención Nosotros noshicimos los muertos también,
PHAD-771;1;loco;;aún dehacerme la loca 
PHAD-945;1;muerto;muerto;aún- decidióhacerse el muerto 
PHAD-500;1;güevón;tonto imbécil huevón-perezoso;aunque ahora sehace el güevón resulta
PHAD-242;1;distraído;despistado;bañaba yhaciéndome el distraído 
PHAD-653;1;interesante;;Basta dehacerme el interesante
PHAD-144;1;ciego;;bastón, yhacerse el ciego
PHAD-24;1;baboso;;bien o tehacés el baboso mijo
PHAD-72;1;boludo;tonto Arg RepDom;bien pero tehacés el boludo Siempre
PHAD-533;1;imbécil;tonto, imbécil;bien, no tehagas el imbécil Hubiera
PHAD-1044;1;pendejo;tonto ;bien! No sehaga el pendejo súbase
PHAD-273;1;duro;;bobo, porque sehace el duro el
PHAD-386;1;extravagante;;boca llena,haciéndose el extravagante 
PHAD-71;1;boludo;tonto Arg RepDom;boludo Siempre tehacés el boludo cuando
PHAD-416;1;fuerte ;;brazo yhacerse el fuerte,
PHAD-774;1;loco;;"buena parte ""sehace la loca"" ante"
PHAD-1343;1;tonto;;bueno dehacerse los tontos
PHAD-1139;1;simpático;;bueno parahacerse el simpático:
PHAD-160;1;compasivo;;burlarse, parahacerse los compasivos
PHAD-825;1;loco;;busca o mehago el loco Aquí
PHAD-855;1;loco;;cambiar pareja,haciéndose los locos 
PHAD-147;1;ciego ;;cambio dehacerse el ciego,
PHAD-621;1;interesado;;canción, élhaciéndose el interesado 
PHAD-1206;1;sordo;;capacidad parahacerse el sordo
PHAD-272;1;duro;;cara-, no tehagas el duro que
PHAD-524;1;idiota;tonto, imbécil;caras yhacernos los idiotas 
PHAD-1076;1;remolón;;Carla refunfuñó, sehizo la remolona adoptó
PHAD-671;1;interesante;;ceja parahacerse el interesante&
PHAD-189;1;despistado;despistado;cerca o sehará la despistada 
PHAD-864;1;magnánimo ;;cervezas, ahacerse el magnánimo,
PHAD-468;1;gracioso;;Chacaltana, Luquen,haciéndose el gracioso,
PHAD-483;1;gracioso;;"china?"", dije,haciéndome el gracioso"
PHAD-718;1;lindo;;"chofer ""lindorfea"" (sehace el lindo con"
PHAD-143;1;ciego;;ciegos o sehacen los ciegos y
PHAD-854;1;loco;;"civil, pero ""sehacen los locos y"
PHAD-1336;1;tonto;tonto;Collell No sehaga el tonto si
PHAD-316;1;encontradizo;;Comencé ahacerme el encontradizo
PHAD-581;1;ingenuo;;como estaba, sehizo el ingenuo como
PHAD-1002;1;papo;tonto Hond;como indección?hacéte el papo 
PHAD-491;1;guapo;;como parahacerse el guapo 
PHAD-1054;1;pícaro;;"como parahacerse el pícaro"""
PHAD-1143;1;simpático;;como parahacerse el simpático
PHAD-1335;1;tonto;tonto;cómo, no tehagas el tonto Tú
PHAD-10;1;ancho;;compinches escolares sehizo el ancho Golpeó
PHAD-1122;1;simpático;;comportamiento yhaciéndose la simpática
PHAD-970;1;occiso ;;comprometió ahacerse el occiso,
PHAD-25;1;baboso;;CON ESTO SEHARÁN LOS BABOSOS ¿ACASO
PHAD-91;1;bueno;;confesarlo quehacerme la buenita 
PHAD-1025;1;pendejo;tonto ;conmigo no tehagas la pendeja 
PHAD-662;1;interesante;;conmigo parahacerse la interesante
PHAD-249;1;dormido;;"Conté Mientras TeHacías La Dormida"" Es"
PHAD-77;1;boludo;tonto Arg RepDom;convenía que sehiciesen los boludos 
PHAD-862;1;longuis;despistado idiom;copas Yo mehice el longuis para
PHAD-1070;1;raro;;cosas, dehacerte el raro
PHAD-44;1;bobo;tonto;creo que sehizo el bobo porque
PHAD-1213;1;sospechoso;;crimen, inclusohacerse la sospechosa,
PHAD-456;1;gracioso;;cuando quierehacerse el gracioso
PHAD-420;1;fuerte ;;Cuando quierenhacerse los fuertes
PHAD-502;1;histérico;;cuantas horashaciéndome la histérica
PHAD-648;1;interesante;;cuartos traseroshaciéndose el interesante
PHAD-620;1;interesado;;"cuénteme"", dijo,haciéndose el interesado "
PHAD-770;1;loco;;cuentos Ella sehizo la loca (no
PHAD-417;1;fuerte ;;cuesta tantohacerse la fuerte,
PHAD-453;1;gracioso;;cuestión dehacerse la graciosa,
PHAD-769;1;loco;;culiao? ¿o sehace la loca y
PHAD-175;1;culto;;culta, ohacerme el culto
PHAD-172;1;culto;;culta, ohacerme el culto 
PHAD-944;1;muerto;muerto;cumanés que sehizo el muerto en
PHAD-1071;1;raro;;da porhacerte el raro
PHAD-227;1;discapacitado;;Daba gustohacerme el discapacitado 
PHAD-1340;1;tonto;tonto;de baba ¿Tehaces el tonto? ¿Conmigo?
PHAD-1273;1;tonto;tonto;de blanco sehace la tonta y
PHAD-523;1;idiota;tonto, imbécil;de cuajo,haciéndome el idiota 
PHAD-953;1;muerto;muerto;"de defenderse, sehacen los muertos"" "
PHAD-1334;1;tonto;tonto;de distraído,haciéndose el tonto 
PHAD-616;1;inteligente;;de estahaciéndose la inteligente
PHAD-188;1;despistado;despistado;de filo,haciéndose la despistada 
PHAD-1366;1;valiente;;de frío,haciéndose el valiente
PHAD-427;1;graciosete;gracioso;de izquierda: sehace el graciosete pero
PHAD-985;1;ofendido;;de Manuel Sehacía el ofendido 
PHAD-1210;1;sordo ;;"de nadahacerse el sordo;"
PHAD-1272;1;tonto;tonto;de nada Mehice la tonta y
PHAD-1333;1;tonto;tonto;de permiso sehizo el tonto escuchó
PHAD-1060;1;piola;idiom: el listo Arg;de seguridad,haciéndose los piolas 
PHAD-315;1;encontradizo;;de semana,haciéndose el encontradizo
PHAD-977;1;ofendido;;debatía entrehacerme la ofendida 
PHAD-642;1;interesante;;decía porhacerse la interesante
PHAD-545;1;importante;;decir Ellahaciéndose la importante)
PHAD-501;1;hambriento;;decírmelo y tehiciste la hambrienta Suleima
PHAD-606;1;inocente;;dedicas ahacerte el inocente
PHAD-601;1;inocente;;dedicas ahacerte el inocente 
PHAD-1332;1;tonto;tonto;defensiva, pero sehace el tonto y
PHAD-898;1;misterioso;;dejá dehacerte el misterioso
PHAD-768;1;loco;;deja dehacerte la loca 
PHAD-1368;1;valiente;;deja dehacerte la valiente
PHAD-1151;1;solemne;;dejan dehacerse los solemnes
PHAD-458;1;gracioso;;dejar dehacerte el gracioso
PHAD-767;1;loco;;dejar dehacerte la loca 
PHAD-853;1;loco;;dejaron entrarhaciéndose los locos 
PHAD-1204;1;sordo;;dejarse acorralar,haciéndose el sordo
PHAD-464;1;gracioso;;deje dehacerse el gracioso,
PHAD-152;1;cojo;;del cochehaciéndome el cojo 
PHAD-1193;1;sordo;tonto ;del juego, sehacen las sordas cuando
PHAD-1075;1;remolón;;del partido, sehizo el remolón merodeó
PHAD-499;1;güevón;tonto imbécil huevón-perezoso;"dentro ""No sehaga el güevón que"
PHAD-572;1;inflexible ;;derretida, perohaciéndose la inflexible,
PHAD-571;1;infeliz;;descarado que sehacía el infeliz para
PHAD-271;1;duro;;deseo Seguíhaciéndome el duro 
PHAD-824;1;loco;;despide Decidohacerme el loco 
PHAD-362;1;estrecho;;"despreocupadamente: ""No sehaga el estrecho "
PHAD-719;1;listillo;;Después dehacerme la listilla 
PHAD-250;1;dormido;;día siguiente, mehice el dormido y
PHAD-426;1;gil;tonto;días dehacerme el gil 
PHAD-37;1;bobo;tonto;dicho comohaciéndome la boba 
PHAD-130;1;chistoso;;dicho: no tehagas el chistoso es
PHAD-516;1;humilde;;digo parahacerme el humilde
PHAD-1397;1;vivo;;digo quehaciéndose el vivo
PHAD-823;1;loco;;digo que sehizo el loco pues!
PHAD-1135;1;simpático;;dijo Acasuzo haciéndose el simpático
PHAD-1136;1;simpático;;dijo Gómez,haciéndose el simpático-
PHAD-1271;1;tonto;tonto;divertirme yhacerme la tonta 
PHAD-369;1;estúpido;;dolor yhaciéndome la estúpida
PHAD-567;1;indiferente ;;dominarse yhacerse el indiferente,
PHAD-735;1;listo;;dos quierenhacerse los listos
PHAD-1098;1;santo;santo;dos semanas sehizo la santa empleando
PHAD-1205;1;sordo;;dudé sihacerme el sordo
PHAD-638;1;interesante;;dura dehacerse el interesante
PHAD-1199;1;sordo;tonto ;e inclusohaciéndonos los sordos 
PHAD-635;1;interesante;;e intentéhacerme el interesante
PHAD-1080;1;remolón;;edad andeshaciéndote la remolona 
PHAD-414;1;fuerte;;el abrazohaciéndose la fuerte
PHAD-822;1;loco;;el árbitro sehizo el loco Recuerdo
PHAD-1019;1;pelotudo;tonto Arg Bol Ur;el asistente sehicieron los pelotudos y
PHAD-522;1;idiota;tonto, imbécil;el barbero,haciéndose el idiota 
PHAD-717;1;lindo;;el brillote sehizo el lindo el
PHAD-785;1;loco;;El catire sehizo el loco y
PHAD-568;1;indiferente ;;él dehacerse el indiferente?
PHAD-310;1;encontradizo;;el díahaciéndose la encontradiza
PHAD-191;1;despistado;despistado;El Gordo sehizo el despistado 
PHAD-1055;1;pichulero;Idiom: el que engaña;el mozo,haciéndose el pichulero- 
PHAD-943;1;muerto;muerto;el sacristánhaciéndose el muerto 
PHAD-586;1;inmaculado ;;él seguíahaciéndose el inmaculado,
PHAD-851;1;loco;;el tiempohaciéndonos los locos 
PHAD-852;1;loco;;el tiempohaciéndonos los locos 
PHAD-485;1;gracioso;;el tiempohaciéndose el gracioso
PHAD-961;1;obligado;;el viejo,haciéndose el obligado
PHAD-241;1;distraído;despistado;él y sehizo el distraído Enzo
PHAD-1147;1;simpático;;electoral parahacerse los simpáticos
PHAD-379;1;experto;;ella, cuando sehacía la experta la
PHAD-637;1;interesante;;elogio parahacerme la interesante
PHAD-679;1;interesante ;;empecinaba enhacerse el interesante,
PHAD-1330;1;tonto;tonto;empeñas enhacerte el tonto 
PHAD-1331;1;tonto;tonto;empeñas enhacerte el tonto 
PHAD-656;1;interesante;;empezó ahacerse el interesante
PHAD-129;1;chistoso;;empieces ahacerte el chistoso 
PHAD-428;1;graciosillo;gracioso;empieces ahacerte el graciosillo 
PHAD-967;1;occiso;loco Mex;en secohaciéndose la occisa 
PHAD-1010;1;payaso;gracioso;en vainas Tehacías el payaso y
PHAD-36;1;bobo;tonto;encontraste yhacerte la boba 
PHAD-240;1;distraído;despistado;enfrente Quisehacerme el distraído 
PHAD-1154;1;sonso;tonto ;entendió o sehizo el sonso Le
PHAD-1043;1;pendejo;tonto ;entiendo No sehaga el pendejo dijo
PHAD-687;1;interesante ;;entrar -dijo 007haciéndose el interesante,
PHAD-942;1;muerto;muerto;es …l sehace el muerto para
PHAD-373;1;estúpido;;es alejarse,hacerse el estúpido
PHAD-196;1;despistado;;es así?,haciéndote el despistado 
PHAD-674;1;interesante ;;es parahacerse el interesante,
PHAD-135;1;chulo;;es porhacerme el chulo 
PHAD-910;1;modesto;;es porhacerme la modesta,
PHAD-950;1;muerto;muerto;es porque sehacen los muertos Claro,
PHAD-1042;1;pendejo;tonto ;es que sehace el pendejo y
PHAD-270;1;duro;;es que tehaces el duro (Sergio
PHAD-269;1;duro;;es timidez Tehaces el duro pero
PHAD-821;1;loco;;es, no tehagas el loco conmigo
PHAD-820;1;loco;;esas condiciones Sehizo el loco desnudo
PHAD-1329;1;tonto;tonto;ese caso? ¿ Hacerme el tonto 
PHAD-1017;1;pelotudo;tonto Arg Bol Ur;esfuerzo ahora tehacés el pelotudo y
PHAD-683;1;interesante ;;eso conmigoHaciéndome la interesante,
PHAD-1108;1;sensible;;eso dehacerse los sensibles
PHAD-603;1;inocente;;esos que sehacen los inocentes pero
PHAD-686;1;interesante ;;esperando Así,haciéndose el interesante,
PHAD-1137;1;simpático;;esperando Quisehacerme el simpático,
PHAD-605;1;inocente;;está bienhacerse el inocente
PHAD-1016;1;pelotudo;tonto Arg Bol Ur;estaba delirando,hacete el pelotudo 
PHAD-187;1;despistado;despistado;estaba Munihaciéndose la despistada 
PHAD-685;1;interesante ;;estado rehuyéndome,haciéndose el interesante,
PHAD-955;1;muerto;;estamos tumbadashaciéndonos la muerta
PHAD-941;1;muerto;muerto;este, cansado, sehace el muerto soporta
PHAD-896;1;misterioso;;estilo dehacerse el misterioso
PHAD-1152;1;solidario;;esto dehacerme la solidaria
PHAD-128;1;chistoso;;estoy No tehagas el chistoso respondió
PHAD-1041;1;pendejo;tonto ;estúpido, si tehaces el pendejo te
PHAD-280;1;duro;;estuviera intentandohacerse la dura
PHAD-46;1;bobo;tonto;evidente que sehacían los bobos para
PHAD-1040;1;pendejo;tonto ;fácil eshacerse el pendejo 
PHAD-275;1;duro;;fanáticos Aquí sehacen los duros pero
PHAD-1146;1;simpático;;fanfarronear yhacerse los simpáticos
PHAD-729;1;listo;;fase debehacerse la lista
PHAD-52;1;boludo;tonto Arg RepDom;fato Yo mehice la boluda Dije
PHAD-43;1;bobo;tonto;favor no sehaga el bobo O
PHAD-1270;1;tonto;tonto;favor, no sehaga la tonta que
PHAD-1328;1;tonto;tonto;favor, no tehagas el tonto tú
PHAD-168;1;críptico;;felina, porhacerme la críptica
PHAD-549;1;importante ;;forma dehacerse la importante,
PHAD-368;1;estúpido;;forma dehacerte la estúpida
PHAD-655;1;interesante;;fuera, porhacerse el interesante
PHAD-478;1;gracioso;;fusilado porhacerse el gracioso
PHAD-1084;1;revolucionario;;ganas dehacerse el revolucionario
PHAD-643;1;interesante;;ganas dehacerse la interesante
PHAD-617;1;inteligente ;;ganas dehacerte la inteligente,
PHAD-1064;1;profundo ;;Ganivet intentabahacerse el profundo,
PHAD-666;1;interesante;;Gaspar yhaciéndose la interesante
PHAD-1039;1;pendejo;tonto ;gerente No tehagas el pendejo 
PHAD-239;1;distraído;despistado;"gobernador salteño ""Sehace el distraído como"
PHAD-890;1;misterioso;;gracia dehacerse la misteriosa
PHAD-766;1;loco;;gracias yhaciéndome la loca 
PHAD-1074;1;remolón;;grave Porta sehizo el remolón a
PHAD-700;1;justo ;;gritar, dehacerte el justo,
PHAD-548;1;importante ;;gritos parahacerse la importante,
PHAD-819;1;loco;;guardado Ernesto sehizo el loco y
PHAD-1218;1;superior;;gusto dehacerse el superior
PHAD-413;1;fuerte;;ha estadohaciéndose la fuerte
PHAD-118;1;chiquito;;habilidad dehacerte el chiquito 
PHAD-247;1;distraído;despistado;habla Todos sehacen los distraídos y
PHAD-1113;1;servicial;;hablaba conmigo sehacía el servicial Preguntaba
PHAD-70;1;boludo;tonto Arg RepDom;hablando? ¡No tehagás el boludo ahora!
PHAD-268;1;duro;;hace pensarlo? -sehace el duro pero
PHAD-713;1;leso;tonto Chile;hacen fiesta, sehacen los lesos con
PHAD-1327;1;tonto;tonto;hacerlo, no sehaga el tonto porque
PHAD-1007;1;payaso;gracioso;hago parahacerme la payasa 
PHAD-765;1;loco;;has ignoradohaciéndote la loca 
PHAD-284;1;embarazada;;hasta dehacerse la embarazada
PHAD-425;1;gil;tonto;heladero que,haciéndose el gil 
PHAD-401;1;frío;;herida y sehizo el frío Pero
PHAD-127;1;chistoso;;hija, no tehagas el chistoso tú
PHAD-1009;1;payaso;gracioso;histriónicas, evitehacerse el payaso 
PHAD-328;1;enfermo;;holgazaneando ohaciéndome la enferma 
PHAD-1346;1;tradicional;;hoy ahacerse la tradicional
PHAD-639;1;interesante;;importa eshacerse el interesante
PHAD-818;1;loco;;impresiona, luego sehace el loco A
PHAD-1011;1;peligroso;;ingenuos parahacerse el peligroso
PHAD-850;1;loco;;inglés, y sehacían los locos cuando
PHAD-35;1;bobo;tonto;insoportable- No tehagas la boba ¡lo
PHAD-892;1;misterioso;;intenciones dehacerme la misteriosa,
PHAD-569;1;indiferente ;;intromisión yhacerse el indiferente
PHAD-521;1;idiota;tonto, imbécil;inútil dehacerme el idiota 
PHAD-697;1;joven;;jerseys, parahacerte la joven 
PHAD-1096;1;santito;santo;Joaquín, no tehagás el santito que
PHAD-1269;1;tonto;tonto;Jones, no tehagas la tonta conmigo!
PHAD-895;1;misterioso;;"juega ahacerse la misteriosa"""
PHAD-954;1;muerto;;juega ahacerse la muerta
PHAD-897;1;misterioso;;juego parahacerse el misterioso
PHAD-665;1;interesante;;jugando contigo?,haciéndose la interesante
PHAD-1038;1;pendejo;tonto ;jugar ahacerme el pendejo 
PHAD-940;1;muerto;muerto;jugó Billy sehace el muerto sobre
PHAD-469;1;gracioso;;juntos, Jeremías,haciéndose el gracioso,
PHAD-1046;1;pendejo;tonto ;justo que noshagamos los pendejos 
PHAD-1326;1;tonto;tonto;K- No sehaga el tonto 
PHAD-764;1;loco;;la abuela sehacía la loca y
PHAD-484;1;gracioso;;la asustahaciéndose el gracioso
PHAD-112;1;casual;;la cama- sehicieron los casuales y
PHAD-1191;1;sordo;tonto ;la cara,haciéndose la sorda 
PHAD-195;1;despistado;despistado;la comida,haciéndote el despistado 
PHAD-1190;1;sordo;tonto ;la dignidad Sehizo la sorda ante
PHAD-976;1;ofendido;;la engañaba Sehacía la ofendida y
PHAD-777;1;loco;;la Escopeta, noshicimos las locas con
PHAD-763;1;loco;;la gente sehace la loca para
PHAD-1268;1;tonto;tonto;la lengua,haciéndome la tonta 
PHAD-1267;1;tonto;tonto;la mía:hacerme la tonta 
PHAD-602;1;inocente;;la misahaciéndose los inocentes 
PHAD-151;1;cojo;;la pierna Sehace el cojo para
PHAD-849;1;loco;;la prensa, sehagan los locos como
PHAD-489;1;grave ;;la tía,haciéndose la grave,
PHAD-1066;1;puro;;ladinos que sehacen los puros y
PHAD-238;1;distraído;despistado;lado, procuróhacerse el distraído 
PHAD-891;1;misterioso;;largo trechoHaciéndose la misteriosa
PHAD-939;1;muerto;muerto;las aguas, sehacía el muerto con
PHAD-984;1;ofendido;;las manos, tehacés el ofendido y
PHAD-705;1;leso;tonto Chile;las mujeres noshacemos las lesas doctor?
PHAD-775;1;loco;;Las mujeres sehacen las locas y
PHAD-1198;1;sordo;tonto ;"las pegas; sehacen los sordos cuando"
PHAD-222;1;difícil;;las plumashaciéndose las difíciles
PHAD-1325;1;tonto;tonto;las que sehace el tonto y
PHAD-34;1;bobo;tonto;las tres,haciéndome la boba 
PHAD-58;1;boludo;tonto Arg RepDom;Lascano, no tehagas el boludo Vos
PHAD-684;1;interesante ;;le contesté,haciéndome la interesante,
PHAD-1189;1;sordo;tonto ;le contestó, sehizo la sorda terminó
PHAD-762;1;loco;;le escribí,haciéndome la loca 
PHAD-163;1;confianzudo;;Le gustahacerse el confianzudo
PHAD-676;1;interesante ;;Le gustahacerse el interesante,
PHAD-4;1;acomedido ;;le gustabahacerse el acomedido,
PHAD-339;1;enterado;;le gustabahacerse el enterado
PHAD-902;1;misterioso ;;le gustabahacerse el misterioso,
PHAD-541;1;importante;;le gustóhacerse el importante
PHAD-92;1;bueno;;le hablanhaciéndose los buenitos 
PHAD-1222;1;tarado;loco;ligue, no sehaga el tarado
PHAD-231;1;distraído;despistado;liliputiense, o sehacía la distraída adrede,
PHAD-817;1;loco;;llamando y sehace el loco 
PHAD-102;1;cabrón;;llevaba añoshaciéndose el cabrón 
PHAD-618;1;intenso;;llevaba parahacerme el intenso
PHAD-660;1;interesante;;llevaba porhacerse el interesante
PHAD-311;1;encontradizo;;lo abordóhaciéndose la encontradiza
PHAD-1208;1;sordo;;lo comenzado,haciéndose el sordo
PHAD-690;1;intrigante;;lo dehacerse el intrigante 
PHAD-585;1;inglés;;Los Brincoshaciéndose los ingleses 
PHAD-1061;1;poderoso;;los cojoneshacerse el poderoso
PHAD-409;1;fuerte;;los duros Noshacemos los fuertes Usted
PHAD-848;1;loco;;los emperadores sehacen los locos y
PHAD-870;1;malo;;los jueces, sehacen los malos y
PHAD-134;1;chulo;;los lunes sehacía el chulo contándonos
PHAD-1197;1;sordo;tonto ;los nacionalistas sehacen los sordos o
PHAD-1370;1;valiente ;;los niñoshaciéndome la valiente,
PHAD-847;1;loco;;los padres sehacían los locos y
PHAD-846;1;loco;;los que sehacen los locos siendo
PHAD-816;1;loco;;lúcido Si sehacía el loco algunas
PHAD-983;1;ofendido;;luego no tehagas el ofendido 
PHAD-715;1;libre;;lugares debehacerse el libre
PHAD-1324;1;tonto;tonto;madre, no tehagas el tonto a
PHAD-1024;1;pendejo;tonto ;Malena, no tehagas la pendeja Acércate
PHAD-194;1;despistado;despistado;maleta y sehizo el despistado cuando
PHAD-26;1;baladrón;;manera dehacerme el baladrón 
PHAD-321;1;encontradizo ;;maneras dehacerme el encontradizo,
PHAD-1095;1;santito;santo;manijas) Decidióhacerse la santita 
PHAD-1266;1;tonto;tonto;mano Intentahacerte la tonta 
PHAD-308;1;encontradizo;;más discretohacerse la encontradiza
PHAD-550;1;importante ;;más embaucarlas,hacerte el importante,
PHAD-975;1;ofendido;;más fácilhacerse la ofendida 
PHAD-114;1;celoso;;me acercó,haciéndose la celosa:
PHAD-452;1;gracioso;;me imaginohaciéndome la graciosa
PHAD-915;1;mudo;;me ocurrióhacerme la muda!
PHAD-607;1;inocente;;Me sentéhaciéndome la inocente
PHAD-341;1;erudito;;medican y sehacen los eruditos por
PHAD-613;1;inocente ;;Menem sigahaciéndose el inocente,
PHAD-672;1;interesante;;mentira parahacerse las interesantes
PHAD-372;1;estúpido;;meses dehacerme el estúpido
PHAD-1120;1;simpático;;metros cuadrados),hacerse la simpática
PHAD-649;1;interesante;;mí -dijehaciéndome el interesante-,
PHAD-42;1;bobo;tonto;mi escondrijo Sehizo el bobo me
PHAD-1323;1;tonto;tonto;mi geografía, sehizo el tonto Mi
PHAD-845;1;loco;;"mí tampoco; noshicimos los locos A"
PHAD-470;1;gracioso;;mí y,haciéndose el gracioso,
PHAD-267;1;duro;;mí, piensa Sehace el duro el
PHAD-949;1;muerto;muerto;mienten, no sehacen los muertos 
PHAD-1265;1;tonto;tonto;mimarlas yhacerme la tonta 
PHAD-230;1;distraído;despistado;mira fijamente Mehago la distraída No
PHAD-868;1;maje;tonto HOND CRica;miradas Y noshacemos los majes los
PHAD-815;1;loco;;mismo Presidente seharía el loco si
PHAD-688;1;interesante ;;misteriosamente quieta,haciéndose la interesante,
PHAD-412;1;fuerte;;mocos yhaciéndose el fuerte
PHAD-1212;1;sorpresivo;;modo dehacerse el sorpresivo
PHAD-1322;1;tonto;tonto;momento prefierahacerme el tonto 
PHAD-1111;1;serio;;Mucho menoshacerme el serio,
PHAD-636;1;interesante;;mucho, parahacerme la interesante
PHAD-1264;1;tonto;tonto;muertos No tehagas la tonta la
PHAD-1278;1;tonto;tonto;mujeres que sehacen las tontas no
PHAD-814;1;loco;;mundo eshacerse el loco 
PHAD-532;1;imbécil;tonto, imbécil;mundo! ¡No tehagas el imbécil 
PHAD-682;1;interesante ;;muy seria,haciéndome la interesante,
PHAD-332;1;enfermo;;muy vergonzosa:hacerme el enfermo 
PHAD-716;1;lindo;;Nada dehacerte el lindo 
PHAD-498;1;güevón;tonto imbécil huevón-perezoso;nada No sehaga el güevón dijo
PHAD-331;1;enfermo;;NADA VALEHACERSE EL enfermo 
PHAD-844;1;loco;;nada, que sehacen los locos como
PHAD-1101;1;santo;;nadie dehacerse la Santa
PHAD-1148;1;simpático;;necesidad dehacerse los simpáticos
PHAD-476;1;gracioso;;necesitaba Pablohacerse el gracioso
PHAD-455;1;gracioso;;ni dehacerse el gracioso
PHAD-1263;1;tonto;tonto;niegues ni tehagas la tonta lo
PHAD-1003;1;paternal;;niños parahacerse el paternal
PHAD-813;1;loco;;no animarse, sehacía el loco y
PHAD-245;1;distraído;despistado;no podemoshacernos los distraídos 
PHAD-246;1;distraído;despistado;no podemoshacernos los distraídos 
PHAD-842;1;loco;;no podemoshacernos los locos 
PHAD-843;1;loco;;no podemoshacernos los locos 
PHAD-1320;1;tonto;tonto;no podéshacerte el tonto 
PHAD-1321;1;tonto;tonto;no podéshacerte el tonto 
PHAD-1036;1;pendejo;tonto ;no puedeshacerte el pendejo 
PHAD-1037;1;pendejo;tonto ;no puedeshacerte el pendejo 
PHAD-177;1;delicado ;;no quisehacerme el delicado,
PHAD-27;1;bobalicón;tonto;No sigashaciéndote el bobalicón 
PHAD-570;1;indiferente ;;no tenerte,haciéndote la indiferente
PHAD-33;1;bobo;tonto;noche, tú tehaces la boba y
PHAD-812;1;loco;;nos trajo Tehiciste el loco viendo
PHAD-382;1;experto;;nostalgia y sehace el experto delante
PHAD-608;1;inocente;;notas yhaciéndome la inocente
PHAD-146;1;ciego ;;o hastahacerse el ciego,
PHAD-736;1;listo;;o parahacerse los listos
PHAD-703;1;leso;tonto Chile;obstante, Clarisa sehizo la lesa y
PHAD-68;1;boludo;tonto Arg RepDom;obvio, enhacerme el boludo 
PHAD-69;1;boludo;tonto Arg RepDom;obvio, enhacerme el boludo 
PHAD-142;1;ciego;;Occidental, porque sehacen los ciegos ante
PHAD-320;1;encontradizo ;;ofrecía parahacerme el encontradizo,
PHAD-193;1;despistado;despistado;oído, pero sehace el despistado siguiendo
PHAD-393;1;fesa;tonto Mex;orden dehacerse los fesas 
PHAD-1319;1;tonto;tonto;oreja Rojas sehace el tonto 
PHAD-841;1;loco;;paga, y sehacen los locos y
PHAD-647;1;interesante;;palabrotas parahacerte el interesante
PHAD-1318;1;tonto;tonto;para , no sehaga el tonto porque
PHAD-330;1;enfermo;;para que sehiciera el enfermo …l
PHAD-1045;1;pendejo;tonto ;para seguirhaciéndonos los pendejos 
PHAD-336;1;enigmático ;;parte porhacerse el enigmático,
PHAD-465;1;gracioso;;parte, queriendohacerse el gracioso,
PHAD-457;1;gracioso;;partido yhacerse el gracioso
PHAD-681;1;interesante ;;pasa porhacerte el interesante,
PHAD-1035;1;pendejo;tonto ;pasa, ohacerme el pendejo 
PHAD-646;1;interesante;;pasa, quiereshacerte el interesante
PHAD-879;1;mártir;;pasaba bombahaciéndose el mártir 
PHAD-994;1;oriental ;;payaso yhaciéndome el oriental,
PHAD-376;1;europeo;;pedante parahacerte el europeo
PHAD-1262;1;tonto;tonto;pena seguirhaciéndome la tonta 
PHAD-811;1;loco;;pensé enhacerme el loco 
PHAD-761;1;loco;;pensé enhacerme la loca 
PHAD-810;1;loco;;percatado pero sehace el loco 
PHAD-226;1;digno;;perdí tiempohaciéndome el digno
PHAD-1317;1;tonto;tonto;perdonarlos, olvidar,hacerme el tonto 
PHAD-1316;1;tonto;tonto;perfectamente No tehagas el tonto 
PHAD-67;1;boludo;tonto Arg RepDom;periódicos o tehaces el boludo -dijo,
PHAD-710;1;leso;tonto Chile;permite y sehace el leso como
PHAD-784;1;loco;;Pero él sehace el loco y
PHAD-1240;1;tonto;tonto;Pero prefierohacerme la tonta 
PHAD-836;1;loco;;Pero todos sehacen los locos y
PHAD-1079;1;remolón;;pertenecía, y sehizo la remolona Insistió
PHAD-1202;1;sordo;;peste Preferíahacerse el sordo
PHAD-974;1;ofendido;;pidiendo disculpas,haciéndome la ofendida 
PHAD-938;1;muerto;muerto;piruetas, ni sehace el muerto y
PHAD-809;1;loco;;plata No tehagas el loco 
PHAD-1134;1;simpático;;plato plástico,haciéndose el simpático
PHAD-1132;1;simpático;;político, parahacerse el simpático
PHAD-1261;1;tonto;tonto;ponía enhacerse la tonta 
PHAD-960;1;normal ;;por ahí,haciéndome el normal,
PHAD-776;1;loco;;por ahorahagámonos las locas 
PHAD-1023;1;pendejo;tonto ;por conveniencia, sehace la pendeja Claro,
PHAD-699;1;juguetón;;por errorhacerse el juguetón
PHAD-391;1;feliz ;;por gracioso,hacerse el feliz,
PHAD-871;1;malo;;por nohacerse la mala
PHAD-23;1;baboso;;por qué tehaces el baboso July
PHAD-760;1;loco;;porque preferíhacerme la loca 
PHAD-644;1;interesante;;porque queríahacerse la interesante
PHAD-1012;1;peligroso;;porque quierenhacerse los peligrosos,
PHAD-959;1;necesario;;precedentes yhacerse el necesario
PHAD-173;1;culto;;predios donde sehacen los cultos a
PHAD-309;1;encontradizo;;prepararse parahacerse la encontradiza
PHAD-982;1;ofendido;;pretextos parahacerte el ofendido 
