codigo;token;naturaleza;item;enunciado;significado;
PHND-111;1;SUST;mosquita;  más disparatadas. Se  hacía la mosquita muerta,;tonto: mosquita muerta;FINGIDO
PHND-112;1;SUST;mosquita;  esa Inés! Se  hacía la mosquita muerta;tonto: mosquita muerta;FINGIDO
PHND-113;1;SUST;mosquita;  -replicó ella-. Te  haces la mosquita muerta;tonto: mosquita muerta;FINGIDO
PHND-114;1;SUST;mujer; ! °Para consentirte!,  hacerte la mujer admirada;;FINGIDO
PHND-115;1;SUST;mujer;  y ahora te  haces la mujer sensible;;FINGIDO
PHND-116;1;SUST;mujer;  maldición por  hacerme la mujer pobre;;FINGIDO
PHND-117;1;SUST;nieto;la única manera de ayudarlo era hacerme el nieto dolido y rencoroso, ;;FINGIDO
PHND-118;1;SUST;niño;¿Piensas pasarte la noche haciéndote el niñito? ;;FINGIDO
PHND-119;1;SUST;niño;y empezó a hacerse la niña caprichosa, y a hacer piruetas dentro del coche y vos a reírte,;;FINGIDO
PHND-120;1;SUST;novio; . Nada de  hacerte el noviecito ;;FINGIDO
PHND-123;1;SUST;ovejita;  también, no se  haga la ovejita dijo;;FINGIDO
PHND-124;1;SUST;padre;No sé para qué te mientes tanto y sigues intentando hacerte el padre del año cuando no lo eres ni lo serás.;;FINGIDO
PHND-125;1;SUST;parvulito;  siempre. No te  hagas el parvulito porque;;FINGIDO
PHND-128;1;SUST;pavo; -------------  [52]       ´No te  hagás el pavo Yo;;FINGIDO
PHND-130;1;SUST;peón;podrían sospechar y él no estaba de humor para dar explicaciones o hacerse el peón en serio ;hacerse pasar por peón;FINGIDO
PHND-131;1;SUST;periodista;qué necesidad más tonta tengo de preguntar y hacerme la periodista, me arrepiento inmediatamente.;;FINGIDO
PHND-132;1;SUST;poeta; ---------------  [2]       No te  hagás el poeta -={Referencia;;FINGIDO
PHND-133;1;SUST;poeta;  muy fácil  hacerse el poeta ;;FINGIDO
PHND-134;1;SUST;porteño; ------------  [105]       -No te  hagas el porteño que;;FINGIDO
PHND-135;1;SUST;prisionero;  como él, se  hacía la prisionera para;;FINGIDO
PHND-136;1;SUST;punky;Si querés hacerte la punky o la dark tenés que esperar a crecer un poco y si no andate a Londres o a Berlín donde hay chicos disfrazados de cualquier cosa.;;FINGIDO
PHND-137;1;SUST;putito;  ese Fidel se  hace el putito para;;FINGIDO
PHND-138;1;SUST;rabona;  mes para  hacerme la rabona ;Idiom: faltar a clase;FINGIDO
PHND-139;1;SUST;rabona;  hacías aquí? ¿Te  hiciste la rabona? -={Referencia;Idiom: faltar a clase;FINGIDO
PHND-140;1;SUST;rata;  nada difícil  hacerme la rata ;Idiom: faltar a clase;FINGIDO
PHND-141;1;SUST;rata;  lograrlo era  haciéndome la rata ;Idiom: faltar a clase;FINGIDO
PHND-142;1;SUST;rata;  el Palo, nos  hicimos la rata al;Idiom: faltar a clase;FINGIDO
PHND-143;1;SUST;Reina;llegó tan pobre como vos -pensaba decirle- y no se hizo la Reina de América porque no tenía tu fuerza en los brazos, ;;FINGIDO
PHND-144;1;SUST;reina;ella sonríe sin volverse, como haciéndose la reina de saba,;;FINGIDO
PHND-145;1;SUST;reina;La que se deja querer haciéndose la reina, la que se pinta las uñas de los pies los viernes por la noche,;;FINGIDO
PHND-148;1;SUST;ruso;  escapas o te  haces el ruso No;despistado, el loco Hond. Costa Rica;FINGIDO
PHND-149;1;SUST;Señora;  hay que  hacerme la Señora ;nombre propio?;FINGIDO
PHND-150;1;SUST;sueco;  pregunto y se  hacen las suecas A;despistado;FINGIDO
PHND-151;1;SUST;sueco;  les encanta  hacerse las suecas ;despistado;FINGIDO
PHND-152;1;SUST;sueco; -. Deja de  hacerte el sueco ;despistado;FINGIDO
PHND-153;1;SUST;sueco; ------------  [101]       -No te  hagas el sueco Larry.;despistado;FINGIDO
PHND-154;1;SUST;sueco;  que no se  hiciera el sueco que;despistado;FINGIDO
PHND-155;1;SUST;sueco;  pillado pero se  hizo el sueco a;despistado;FINGIDO
PHND-156;1;SUST;sueco;  piernas o  hacerse el sueco ;despistado;FINGIDO
PHND-157;1;SUST;sueco;  marcha, también se  hacía el sueco El;despistado;FINGIDO
PHND-158;1;SUST;sueco;  fuerza de  hacerse el sueco ;despistado;FINGIDO
PHND-159;1;SUST;sueco;  árbitro noruego se  hizo el sueco condicionó;despistado;FINGIDO
PHND-160;1;SUST;sueco; Los que se  hacen los suecos en;despistado;FINGIDO
PHND-161;1;SUST;sultán; Más tarde Cora me dio a entender que todo eso no era necesario, pero da lo mismo: sea para hacerme el sultán, para proponer juegos tipo decatlón, para apagar la luz y jugar a los fantasmas, para derretirme como miel y de latin lover impalpable,;;FINGIDO
PHND-163;1;SUST;Teresa;"Que no se hagan los Teresa de Calcuta, porque cuando tenían que cobrar el premio de la clasificación fueron en el coche más rápido que tenían""";Nombre propio;FINGIDO
PHND-165;1;SUST;vestal; , Julio, no te  hagas la vestal esto;virgen, santa, casta, víctima,;FINGIDO
PHND-166;1;SUST;víctima;  nada que te  hagas la víctima;;FINGIDO
PHND-167;1;SUST;víctima; Vuelvo él  haciéndome la víctima ;;FINGIDO
PHND-168;1;SUST;víctima; ´Mira, no te  hagas la víctima Aquí;;FINGIDO
PHND-169;1;SUST;víctima; . También debemos  hacernos la víctima ;;FINGIDO
PHND-170;1;SUST;víctima;" ;Sarracena, no te  hagas la víctima No";;FINGIDO
PHND-171;1;SUST;víctima; , y aún te  haces la víctima ;;FINGIDO
PHND-172;1;SUST;víctima; , Anselmo. No te  hagas la víctima -={Referencia;;FINGIDO
PHND-173;1;SUST;víctima; , Aitor. No te  hagas la víctima -={Referencia;;FINGIDO
PHND-174;1;SUST;víctima; --------------  [191]       - Te  haces la víctima para;;FINGIDO
PHND-175;1;SUST;víctima; -----------  [209]       - No te  hagas la víctima -={Referencia;;FINGIDO
PHND-176;1;SUST;víctima; -------  [135]       Mariano: Te  hacés la víctima -={Referencia;;FINGIDO
PHND-177;1;SUST;víctima;  y, además,  haciéndose la víctima ;;FINGIDO
PHND-178;1;SUST;víctima;  y tampoco te  hagas la víctima muérete;;FINGIDO
PHND-179;1;SUST;víctima;  te gusta  hacerte la víctima ;;FINGIDO
PHND-180;1;SUST;víctima;  su entusiasmo,  hacerse la víctima ;;FINGIDO
PHND-181;1;SUST;víctima;  solícita o  haciéndose la víctima ;;FINGIDO
PHND-182;1;SUST;víctima;  sirvió lamentarme,  hacerme la víctima ;;FINGIDO
PHND-183;1;SUST;víctima;  si de  hacerse la víctima ;;FINGIDO
PHND-184;1;SUST;víctima;  que Sara se  hacía la víctima que;;FINGIDO
PHND-185;1;SUST;víctima;  nunca más. ° Haciéndote la víctima ;;FINGIDO
PHND-186;1;SUST;víctima;  mucho... no te  hagas la víctima tú;;FINGIDO
PHND-187;1;SUST;víctima;  los que se  hacen la víctima -={Referencia;;FINGIDO
PHND-188;1;SUST;víctima;  los presos, se  hace la víctima -={Referencia;;FINGIDO
PHND-189;1;SUST;víctima;  llores ni te  hagas la víctima Bien;;FINGIDO
PHND-190;1;SUST;víctima;  le encanta  hacerse la víctima ;;FINGIDO
PHND-191;1;SUST;víctima;  la gana,  haciéndote la víctima ;;FINGIDO
PHND-192;1;SUST;víctima;  irás a  hacerte la víctima ;;FINGIDO
PHND-193;1;SUST;víctima;  hacia él  haciéndome la víctima ;;FINGIDO
PHND-194;1;SUST;víctima;  frente, sin  hacerse la víctima ;;FINGIDO
PHND-195;1;SUST;víctima;  es necesario, se  hace la víctima o;;FINGIDO
PHND-196;1;SUST;víctima;  en Italia,  hacerse la víctima ;;FINGIDO
PHND-197;1;SUST;víctima;  deje de  hacerse la víctima ;;FINGIDO
PHND-198;1;SUST;víctima;"  enérgico: ""°No te  hagas la víctima! °Tú";;FINGIDO
PHND-199;1;SUST;víctima;  lado y se  hace la víctima? No;;FINGIDO
PHND-200;1;SUST;víctima;"  ya no se  hiciera la víctima"" El ";;FINGIDO
