código;freq;nombre;info de complementos;Funcionan sin?;INFO;METAFORICO;SIGNIFICA;DISTANCIA;fuente;meta;enunciado;;;;;;;;;;;;;;;;;;
PVNI-0778;1;chico;rebelde;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;chica;chica rebelde;con el pasar de los años y de la adolescencia, se volvió un chico más rebelde y caprichoso.;;;;;;;;;;;;;;;;;;
PVNI-0108;1;chincual;que no soportarían;Sí;mex. entusiasmo o excitación por realizar una actividad;sí;;;;;La mota me saca urticaria y me vuelvo un chincual que no soportarían -mentí.;;;;;;;;;;;;;;;;;;
PVNI-0109;1;cierva;de su hijo;sí;sierva;sí;;;;; volverse una SIERVA de su hijo;;;;;;;;;;;;;;;;;;
PVNI-0110;1;círculo;vicioso;SUSTANTIVO COMPUESTO;;SÍ;repititivo;mucha; situación;círculo vicioso;porque se vuelve un círculo vicioso que el hombre sólo engendre hijos y se olvide de ellos.;;;;;;;;;;;;;;;;;;
PVNI-0111;1;círculo;vicioso;SUSTANTIVO COMPUESTO;;SÍ;repititivo;mucha; lucha;círculo vicioso;Es así que esta lucha se vuelve un círculo vicioso.;;;;;;;;;;;;;;;;;;
PVNI-0112;1;círculo;rodeado por;Sí;;sí;;;;;la red se volvió un círculo rodeado por una estrella plana.;;;;;;;;;;;;;;;;;;
PVNI-0113;1;círculo;vicioso;SUSTANTIVO COMPUESTO;;SÍ;repititivo;mucha; situación;círculo vicioso;pero todo se volvió un círculo vicioso.;;;;;;;;;;;;;;;;;;
PVNI-0636;1;ciudad;anónimo;SUSTANTIVO COMPUESTO;de PVNIS;sí, personalización;irrelevante;poca;ciudad;ciudad anónima. ;¿Cuándo es que la ciudad se vuelve insegura? [...] Cuando se vuelve una ciudad anónima. En ese instante es que arranca la inseguridad.;;;;;;;;;;;;;;;;;;
PVNI-0735;1;ciudad;inseguro;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; ciudad;ciudad insegura;¿Cuándo es que la ciudad se vuelve insegura? [...] Cuando se vuelve una ciudad anónima. En ese instante es que arranca la inseguridad.;;;;;;;;;;;;;;;;;;
PVNI-0115;1;ciudadano;prominente;SUSTANTIVO COMPUESTO;;NO;;poca;ciudadano;ciudadno prominenete;La costumbre en nuestra región es que, cuando alguien puede educarse en el extranjero y luego se vuelve un ciudadano prominente, apadrina a un estudiante;;;;;;;;;;;;;;;;;;
PVNI-0116;1;clasico;instantáneo;Sí;;sí;;;;;Dicho texto fue la base para el libro The Writer's Journey, editado en 1993, el cual se volvió un clásico instantáneo de los manuales para escribir guiones.;;;;;;;;;;;;;;;;;;
PVNI-0117;1;clasico;⍬;Sí;;sí;;;;;Recopiló lo mejor en un volumen titulado Fantasía Matemática (1958) que rápidamente se volvió un clásico en su género.;;;;;;;;;;;;;;;;;;
PVNI-0118;1;clasico;⍬;Sí;;sí;;;;;La película, un coctel de erotismo, humor y violencia, se volvió un clásico entre los amantes de los filmes clase B. Meyer,;;;;;;;;;;;;;;;;;;
PVNI-0119;1;clasico;especial;sí;;sí;;;;;"el clásico fútbol ""Es un reto importante y se vuelve un clásico especial por las condiciones en que llega cada uno. Sería lindo ganar el clásico y clasificarnos.";;;;;;;;;;;;;;;;;;
PVNI-0120;1;cóctel;de culpas;SUSTANTIVO COMPUESTO;cuantificador;SÍ;confuso;mucha; cerebro;cóctel; las cosas se disparaban, quiero decir, el cerebro se volvía un cóctel de culpas y perdones,;;;;;;;;;;;;;;;;;;
PVNI-0121;1;coleccionista;compulsivo;sí;;no;;;;;Colette le obsequia el pisapapeles y desde ese momento Capote se vuelve un coleccionista compulsivo de pisapapeles.;;;;;;;;;;;;;;;;;;
PVNI-0857;1;columna;de aire;;;sí;;mucha;surtidor;columna;El surtidor se vuelve una columna del aire;;;;;;;;;;;;;;;;;;
PVNI-0123;1;comedia;⍬;Sí;;sí;;;;;Pudo haber sido un drama... y nunca se volvió una comedia... se volvió una realidad, tan así que Valentina está conmigo y ella es mi realidad. Esta película tiene un poco de todo porque ella me hace reír mucho y le ha otorgado a mi vida;;;;;;;;;;;;;;;;;;
PVNI-0124;1;comedia;de enredo;sí;;sí;;;;;todo parece volverse una comedia de enredos que deriva en intolerancia.;;;;;;;;;;;;;;;;;;
PVNI-0125;1;comedor;compulsivo;sí;;sí;;;;;Si de repente te vuelves un comedor compulsivo de soja, que sepas que puedes desarrollar alergias,;;;;;;;;;;;;;;;;;;
PVNI-0126;1;comentarista;de la literatura;sí;;no;;;;;En principio, el hijo se vuelve un comentarista de la literatura del padre, haciendo digresiones aquí y allá cuando lo considera necesario.;;;;;;;;;;;;;;;;;;
PVNI-0127;1;compañero;de viaje;SUSTANTIVO COMPUESTO;;SÍ;familiar;poca; persona;compañero;Como dice Guillermo, se volvió un compañero de viaje, lo agarré de la mano y estoy muy orgulloso de haber encontrado una persona de mi cultura, una cultura tan pesada como la francesa, y poder decir, esta persona es humana,;;;;;;;;;;;;;;;;;;
PVNI-0128;1;competencia;de aplausos;sí;;sí;;;;;" Cada recital donde la ""teatrocracia"" está presente, se vuelve una competencia de aplausos.";;;;;;;;;;;;;;;;;;
PVNI-0727;1;componente;indesligable;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; componente;compoenente indesligable;se plantaba el arbusto de la hoja de coca que, de un momento a otro, se volvió un componente indesligable del paisaje de esta guerra.;;;;;;;;;;;;;;;;;;
PVNI-0129;1;compromiso;⍬;Sí;;sí;;;;;mientras la modernidad se volvería un compromiso y un reclamo permanente a lo largo del siglo.;;;;;;;;;;;;;;;;;;
PVNI-0131;1;condena;⍬;Sí;;no;;;;;"?No sólo los que mueren en ella -decía- se han unido a su destino; su naturaleza puede volverse una condena.";;;;;;;;;;;;;;;;;;
PVNI-0132;1;condena;a muerte;sí;;no;;;;;"?El problema con las computadoras y la tecnología es que, si no se usa para mejorar el producto, se vuelve una condena a muerte"",";;;;;;;;;;;;;;;;;;
PVNI-0700;1;conducta;extendido;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;conducta;conducta extendida;Asolearse buscando bronceados oscuros se volvió una conducta tan extendida ;;;;;;;;;;;;;;;;;;
PVNI-0133;1;conductor;del caos;sí;;sí;;;;;Así, el miedo se vuelve un conductor y gestor del caos, cuyos signos palmarios son la desinstitucionalización ;;;;;;;;;;;;;;;;;;
PVNI-0134;1;conejo;⍬;Sí;;no;;;;; Y luego en el horizonte vio un pato que se volvía un conejo. La imagen apareció clarísima en el sueño.;;;;;;;;;;;;;;;;;;
PVNI-0135;1;confesionario;⍬;Sí;;sí;;;;;De tan pequeño, el compartimiento podía volverse un confesionario. ;;;;;;;;;;;;;;;;;;
PVNI-0136;1;confusión;⍬;Sí;;sí;;;;;María Elena Torres, quien atiende un puesto de frituras y comida en las instalaciones de la escuela, relató que de pronto todo se volvió una confusión:;;;;;;;;;;;;;;;;;;
PVNI-0648;1;conjunto;capaz;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; personas;conjunto;para jugar junto a Figo. Con él, Portugal se vuelve un conjunto capaz de atemorizar a cualquiera.;;;;;;;;;;;;;;;;;;
PVNI-0137;1;conspirador;⍬;Sí;;sí;;;;;Tendrás que volverte un conspirador.;;;;;;;;;;;;;;;;;;
PVNI-0625;1;constante;⍬;Sí;;sí;;;;;Así, el aumento de los precios se vuelve una constante,;;;;;;;;;;;;;;;;;;
PVNI-0626;1;constante;⍬;Sí;;sí;;;;;políticos en asambleas, campañas, plebiscitos y desfiles se volvieron una constante en el trabajo de los fotógrafos, ;;;;;;;;;;;;;;;;;;
PVNI-0627;1;constante;⍬;Sí;;sí;;;;;quien responde a la fórmula que pareciera comenzar a volverse una constante en los filmes de animación:;;;;;;;;;;;;;;;;;;
PVNI-0138;1;continuo;⍬;Sí;;sí;;;;;el culo y después las tetas y después te acaricio los muslos, sino que el contacto se vuelve todo un continuo, una sola superficie de placer,;;;;;;;;;;;;;;;;;;
PVNI-0139;1;contradicción;⍬;Sí;;sí;;;;;Sin embargo, el nombre de mansos se volvería una contradicción.;;;;;;;;;;;;;;;;;;
PVNI-0140;1;contratista;mediana;Sí;profesión u ocupación;no;;;;; pero para 2006 su suerte cambió y se volvió una contratista mediana de la SCT, ;;;;;;;;;;;;;;;;;;
PVNI-0141;1;convento;de disciplinas;sí;;sí;;;;;Se volvió un convento de disciplina y de meditación porque a ti te dio la gana, porque odiabas a todas las Constanzas ;;;;;;;;;;;;;;;;;;
PVNI-0143;1;cornisa;suspendida;Sí;;sí;;;;;Al pasar por un trecho especialmente hermoso del paso a través de los Andes, donde la ruta se volvía una cornisa suspendida sobre ese apocalipsis mineral, ;;;;;;;;;;;;;;;;;;
PVNI-0144;1;corpus;inteligible;SUSTANTIVO COMPUESTO;;NO;;poca; corpus;corpus inteligible;. O se vuelve un corpus sólo inteligible en circularidades hermenéuticas, como las obras de arte y la literatura.;;;;;;;;;;;;;;;;;;
PVNI-0768;1;cosa;pesado;SUSTANTIVO COMPUESTO;de PVNIS;sí;incomodo, insoportable;mucha; persona;cosa;Adela: Se veía tan bien que a veces me parecía... grande, enorme, inabarcable, inalcanzable... a veces se volvía una cosa pesada, como un sofoco.;;;;;;;;;;;;;;;;;;
PVNI-0145;1;crédito;que se pagará;Sí;;no;;;;;toda esta entrega se vuelve un crédito que se pagará al 8% de interés. ;;;;;;;;;;;;;;;;;;
PVNI-0146;1;crema;espesa;Sí;;no;;;;;"verter la harina de maíz de una sola vez; revolver unos minutos con cuchara de madera y añadir el queso desmenuzado; seguir cocinando un rato más hasta que todo se vuelva una crema espesa.";;;;;;;;;;;;;;;;;;
PVNI-0147;1;crimen;de relleno;sí;;sí;;;;;como que el crimen de Ruiz Massieu y el asunto de Muñoz Rocha fueron perdiendo gas y se volvieron un crimen de relleno y no el de ocho columnas.;;;;;;;;;;;;;;;;;;
PVNI-0148;1;criminal;;Sí;;sí;;;;;Sí, pero a veces, el hijo de un director de empresa se vuelve un criminal para protestar contra su familia y su entorno. ;;;;;;;;;;;;;;;;;;
PVNI-0724;1;criterio;importante;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; criterio;criterio importante;Esto a su vez se vuelve un criterio importante para aplicar otros métodos que intentan analizar;;;;;;;;;;;;;;;;;;
PVNI-0149;1;crónica;social;SUSTANTIVO COMPUESTO;;sí;superficial;mucha; novela;crónica social;la novela resultará en un estudio psicológico de un fanático de cine, pero se vuelve una crónica social de la segunda mitad de los setenta y principios de los ochenta.;;;;;;;;;;;;;;;;;;
PVNI-0150;1;crónica;metafórica;Sí;;sí;;;;;en la novela para contar una historia que se vuelve una crónica metafórica de la represión de esa época.;;;;;;;;;;;;;;;;;;
PVNI-0761;1;cualidad;ontológico;SUSTANTIVO COMPUESTO;de PVNIS;sí;trascendental;mucha; dinero;cualidad;"el dinero-poder se vuelve una cualidad ""ontológica"" que";;;;;;;;;;;;;;;;;;
PVNI-0151;1;cubeta;⍬;Sí;;sí;;;;;Inevitablemente, al volverse una cubeta, acumulará aún más agua con la lluvia siguiente.;;;;;;;;;;;;;;;;;;
PVNI-0152;1;cuchillada;⍬;Sí;;sí;;;;;Ella recupera su aplomo, se coloca a un palmo de distancia y su voz se vuelve una cuchillada.;;;;;;;;;;;;;;;;;;
PVNI-0153;1;cuento;⍬;Sí;;sí;;;;;Porque después de los hechos, los relatos terminan por volverse un cuento.;;;;;;;;;;;;;;;;;;
PVNI-0154;1;cuerpo;erótico;SUSTANTIVO COMPUESTO;;SÍ;sensual, lascivo, erótico;mucha;mundo;cuerpo;Y cómo el mundo entero se vuelve un cuerpo erótico.;;;;;;;;;;;;;;;;;;
PVNI-0824;1;cuestión;de vida o muerte;SUSTANTIVO COMPUESTO;de PVNIS;sí, por adj;vital, trascendental;poca; cuestón;tipo de cuestión;y termines por romper la dieta para poder satisfacer tu deseo que se volverá una cuestión de vida o muerte.;;;;;;;;;;;;;;;;;;
PVNI-0825;1;cúmulo;de vaguedades;SUSTANTIVO COMPUESTO;de PVNIS;sí;intrascendente;mucha; situación;cúmulo de vaguedaddes;aunque a la sazón todo se volvía un cúmulo de vaguedades, se sentía muy confortado cuando ella se le manifestaba en todo su ilustre esplendor.;;;;;;;;;;;;;;;;;;
PVNI-0155;1;Darwin;de su tiempo;sí;Nombre propio;sí;;;;;"""Si con sus obras anteriores Sacks había cumplido parte de su sueño de escribir literatura científica como Freud, ahora con este libro se vuelve un Darwin de sus tiempos.""
";;;;;;;;;;;;;;;;;;
PVNI-0156;1;dato;estadístico;SUSTANTIVO COMPUESTO;;SÍ;irrelevante;mucha;persona;dato estadístic;Lo sorprendí al negarlo y volverme un dato estadístico menos, pues como sabes, ni siquiera filmo. ;;;;;;;;;;;;;;;;;;
PVNI-0157;1;debate;acerca de;sí;;sí;;;;;Frente al espectacular éxito comercial del veracruzano, y haciendo un intento porque este espacio no se vuelva un debate acerca de la validez o pertinencia de su obra,;;;;;;;;;;;;;;;;;;
PVNI-0158;1;declamadora;⍬;Sí;;sí;;;;;" Prefiero, prefiero, subir un peldaño de algún edificio gigantesco y volverme una declamadora; dar largos discursos que se confundan con los gritos de todos.";;;;;;;;;;;;;;;;;;
PVNI-0159;1;delincuente;extremadamente peligroso;SUSTANTIVO COMPUESTO;;NO;;poca; persona;tipo de persona;El adicto se vuelve un delincuente extremadamente peligroso.;;;;;;;;;;;;;;;;;;
PVNI-0160;1;demostración;práctica;sí;;no;;;;;pero la ferviente disposición del público me la transformaba en un sainete en el que la moralina se volvía una demostración práctica de la manera más eficaz de embaucar a todos los esnobs de Europa.;;;;;;;;;;;;;;;;;;
PVNI-0162;1;deportista;sin cansancio;Sí;;sí;;;;; le encontraran sus fórmulas para restablecer el equilibrio, para volverse un deportista sin cansancio ;;;;;;;;;;;;;;;;;;
PVNI-0163;1;depresión;tropical;Sí;;no;;;;; El huracán Richard [...] más tarde se debilitó hasta volverse una depresión tropical, camino hacia México.;;;;;;;;;;;;;;;;;;
PVNI-0164;1;derecho;que para todos…;Sí;;sí;;;;;Por otro lado el derecho a la salud física [..] se vuelve un derecho que para todos debe alcanzarse.;;;;;;;;;;;;;;;;;;
PVNI-0165;1;desafío;estratégico;sí;;sí;;;;;el nuevo concepto de seguridad energética como una variante de la seguridad colectiva se vuelve un desafío estratégico.;;;;;;;;;;;;;;;;;;
PVNI-0166;1;desastre;⍬;Sí;;sí;;;;;No tuviste que llegar y encontrar que en un segundo la vida se volvía un desastre, con que nada sería lo mismo.;;;;;;;;;;;;;;;;;;
PVNI-0167;1;deseo;terrible;Sí;;sí;;;;;Aquello era un pantano lleno de miel caliente, un lodo dulce, y la luz se volvió un deseo terrible que no conocía,;;;;;;;;;;;;;;;;;;
PVNI-0168;1;desfile;de mamacitas;sí;;sí;;;;;Esta esquina se vuelve un desfile de mamacitas.;;;;;;;;;;;;;;;;;;
PVNI-0169;1;desgracia;⍬;Sí;;sí;;;;;porque siempre aseguraste que en la pizca las manos de mujer se vuelven una desgracia,;;;;;;;;;;;;;;;;;;
PVNI-0170;1;desplante;contemporáneo;sí;;sí;;;;; El sincretismo se vuelve un desplante contemporáneo: se pueden convocar los saberes de la santería cubana,;;;;;;;;;;;;;;;;;;
PVNI-0171;1;destino;turístico;SUSTANTIVO COMPUESTO;;NO;;poca;ciudad;destino turístico;Se han mejorado algunas condiciones para que la ciudad se vuelva un destino turístico.;;;;;;;;;;;;;;;;;;
PVNI-0172;1;detector;eufórico;sí;;sí;;;;;Casi puedo sentir cómo se eriza el vello de esa zona, cómo cada uno de esos minúsculos pelillos se vuelve un detector eufórico del levísimo contacto.;;;;;;;;;;;;;;;;;;
PVNI-0173;1;diábolo;que chorreaba;SÍ;;sí;;;;; Dio dos trancos y lanzó mucho más fuerte que la vez primera y la botella se volvió un diábolo que chorreaba una cauda de lava en la piel bruna del cielo,;;;;;;;;;;;;;;;;;;
PVNI-0174;1;diálogo;⍬;Sí;;sí;;;;;"una improvisación libre de otra con sonoridad de parche, improvisación que se vuelve un diálogo con una tercera de sonoridad de madera; ";;;;;;;;;;;;;;;;;;
PVNI-0175;1;diálogo;⍬;Sí;;sí;;;;;Aquello se volvió un diálogo entre madre e hija, entre esas dos mujeres que estaban fuera de sí. Yo intenté salir para dejarlos solos, no era una conversación de la que yo debía participar, p;;;;;;;;;;;;;;;;;;
PVNI-0176;1;dios;infinitamente deseable;sí;;sí;;;;;", y ellas sienten que el amado se vuelve un dios infinitamente deseable ante sus ojos."" ";;;;;;;;;;;;;;;;;;
PVNI-0672;1;dirigente;cultural;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; dirigente;dirigente cultural; Cabrera Infante se vuelve un dirigente cultural que apoya al incipiente régimen, aún en su fase nacionalista.;;;;;;;;;;;;;;;;;;
PVNI-0681;1;disco;disfrutable;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; disco;disco disfrutable;Así Dos lágrimas se vuelve un disco disfrutable,;;;;;;;;;;;;;;;;;;
PVNI-0676;1;disputa;diario;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;tema;disputa diaria;Irremediablemente, por la propia magnitud de la ciudad, que no era mucha, en ciertos acontecimientos sociales terminaban cruzándose y eso alimentaba los desencuentros de la pareja. Se volvió una disputa diaria, hasta el último domingo que lo vio.;;;;;;;;;;;;;;;;;;
PVNI-0734;1;distancia;insalvable;SUSTANTIVO COMPUESTO;de PVNIS;sí;inconveniente;mucha; tiempo;distancia;los cinco años de diferencia entre las hermanas se volvían una distancia insalvable.;;;;;;;;;;;;;;;;;;
PVNI-0760;1;distancia;necesario;SUSTANTIVO COMPUESTO;de PVNIS;sí, por adj;necesaria;mucha;flexibilidad distancia;;una reflexividad que se vuelve una distancia necesaria al develar las posiciones desde las cuales hablamos;;;;;;;;;;;;;;;;;;
PVNI-0807;1;documento;trascendental;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; mural;documento trascendental;"Y es cierto, este mural dejó muy pronto de ser una pintura cubista para volverse un documento trascendental;";;;;;;;;;;;;;;;;;;
PVNI-0180;1;dolmen;⍬;Sí;;sí;;;;;"""Como él no aceptaba la medicina que le estaba ofreciendo clandestinamente y a riesgo de perder su empleo, la enfermera se volvió un dolmen.""";;;;;;;;;;;;;;;;;;
PVNI-0181;1;dolor;de cabeza;sí;;no;;;;;Lo peor es que un problema menor puede volverse un dolor de cabeza costoso si no se cuida, añade.;;;;;;;;;;;;;;;;;;
PVNI-0182;1;dolor;de cabeza;sí;;sí;;;;;Lo que para un pequeño inversionista estadunidense era una bendición, comprar una segunda o tercera vivienda con una tasa de interés baja, para un banquero se vuelve un dolor de cabeza,;;;;;;;;;;;;;;;;;;
PVNI-0183;1;eco;visual;Sí;;sí;;;;;toda la mímesis que en el espejo se vuelve un eco visual. ;;;;;;;;;;;;;;;;;;
PVNI-0184;1;ejemplo;de lo que;sí;;sí;;;;;haciendo que todo el desbarajuste aumente de tamaño y se vuelva un ejemplo de lo que no hay que hacer en el cine.;;;;;;;;;;;;;;;;;;
PVNI-0185;1;ejército;incontrolable;sí;;sí;;;;; las pandillas se vuelven un ejército incontrolable, una nueva explosión social;;;;;;;;;;;;;;;;;;
PVNI-0671;1;elemento;cultural;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;agudeza;elemento cultural;la intensidad y la agudeza desatadas se vuelven un elemento cultural que incrementa conflictos y derivaciones múltiples.;;;;;;;;;;;;;;;;;;
PVNI-0675;1;elemento;determinante;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; algo;elemento dominante;Se recomienda también dimensionar adecuadamente las expectativas excesivas frente a los hijos tanto en la familia como en las instituciones educativas, que generan frecuentemente situaciones de sobre-exigencia, en las cuales la obtención del éxito a toda costa se vuelve un elemento determinante.;;;;;;;;;;;;;;;;;;
PVNI-0784;1;elemento;relevante;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; algo;elemento relevante;vuellas negociaciones entre la Asociación de Ganaderos y de los empresarios de San José, California, se han vuelto un elemento relevante dentro del componente productivo.to un elemento relevante ;;;;;;;;;;;;;;;;;;
PVNI-0815;1;elemento;vivo;SUSTANTIVO COMPUESTO;de PVNIS;sí, por adj;dinámica;mucha; historia;elemento vivo;Cuando la historia se hace presente en la mentalidad de una nación, se vuelve un elemento vivo de su cultura. ;;;;;;;;;;;;;;;;;;
PVNI-0186;1;emblema;de la decadencia;sí;;sí;;;;;Con el tiempo, el pórtico semidestruido y casi derrumbado se volvió un emblema de la decadencia de la ciudad,;;;;;;;;;;;;;;;;;;
PVNI-0187;1;enfermedad;⍬;Sí;;sí;;;;; La vida es para disfrutarla. Más allá de cierto límite, el trabajo se vuelve una enfermedad.;;;;;;;;;;;;;;;;;;
PVNI-0188;1;enredo;⍬;Sí;;sí;;;;;No convino en nada con los litigantes y además, se volvió un enredo con los papeles que tenía que enviar:;;;;;;;;;;;;;;;;;;
PVNI-0189;1;enredo;⍬;Sí;;sí;;;;;Uno cree que los demás notan lo mismo, pero no es así, y de pronto las conversaciones se vuelven un enredo.;;;;;;;;;;;;;;;;;;
PVNI-0190;1;ente;discursivo;SUSTANTIVO COMPUESTO;;SÍ;irrelevante;mucha; persona;ente discursivo;que por ello se vuelve un ente discursivo, sin vida.;;;;;;;;;;;;;;;;;;
PVNI-0793;1;entorno;seguro;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; casa;entorno seguro;Además, la casa puede empezar a acomodarse para volverse un entorno seguro, ;;;;;;;;;;;;;;;;;;
PVNI-0191;1;erial;⍬;Sí;Dicho de una tierra o de un campo: Sin cultivar ni labrar. ;sí;;;;;"Aquí las almas, como la tierra, se vuelven un erial, solas y secas; ";;;;;;;;;;;;;;;;;;
PVNI-0192;1;erudito;⍬;Sí;;sí;;;;;"Comenzó con Kiss y luego se
volvió un erudito en rock & roll.";;;;;;;;;;;;;;;;;;
PVNI-0193;1;erudito;⍬;Sí;;sí;;;;;"se gritan en portugués; algunas cosas las entiendo -tantos años estudiando idiomas no sirvieron sólo para volverme un erudito-";;;;;;;;;;;;;;;;;;
PVNI-0194;1;escandalera;de luces;sí;;sí;;;;; Con la lluvia se volvía una escandalera de luces, como de diamantina.;;;;;;;;;;;;;;;;;;
PVNI-0195;1;escándalo;público;Sí;;sí;;;;;Puede ser, y hasta me encantaría que leyeran tus indecencias los Negrete, los Mier, los Ayala, y que, si lo publicas, se vuelva un escándalo público.;;;;;;;;;;;;;;;;;;
PVNI-0858;1;escritura;que se ;;abstracto;sí;;mucha;persona;escritura;El cosmos brota del signo sonoro: la palabra lo crea y él, a su vez, se vuelve una escritura que se dice a sí misma.;;;;;;;;;;;;;;;;;;
PVNI-0197;1;esfuerzo;ecológico;sí;;sí;;;;;Lo que comenzó como una iniciativa para mejorar el acceso a un negocio en Lajas se volvió un esfuerzo ecológico;;;;;;;;;;;;;;;;;;
PVNI-0770;1;espacio;político;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;ciudad;espacio transitables;"Es así que, ""el territorio habitado por el ser humano se vuelve un espacio político, económico, social, cultural y eco-ambiental"" (GDLU, 2010).";;;;;;;;;;;;;;;;;;
PVNI-0806;1;espacio;transitable;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; teatro;espacio para;así que la ciudad se volvía un espacio transitable y Antonia aceptó de buena gana.;;;;;;;;;;;;;;;;;;
PVNI-0826;1;espacio;para…;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;universo indígena;espacio para;vuelve un espacio para ;;;;;;;;;;;;;;;;;;
PVNI-0827;1;espacio;que…;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;universo indígena;espacio;El universo indígena se volvió un espacio que fue tratado de muy diversas maneras por profesionales de otras áreas ;;;;;;;;;;;;;;;;;;
PVNI-0198;1;especialista;en montár;sí;;sí;;;;;Después de tantas mudanzas, mi padre se volvió un especialista en montar y desmontar casas al vapor. ;;;;;;;;;;;;;;;;;;
PVNI-0199;1;especialista;en dar;sí;;sí;;;;; Se volvió un especialista en dar dos trompones a cambio de una bofetada o una bandeja de comida tirada por la cabeza;;;;;;;;;;;;;;;;;;
PVNI-0630;1;especie;abuelo;SUSTANTIVO COMPUESTO;de PVNIS;sí;viejo, entrañable;poca; persona;especie de abuelo;Si acaso, le estaba entrando el síndrome de Santa Clos, el volverse una especie de abuelo de todos y todas quienes lo rodeaban,;;;;;;;;;;;;;;;;;;
PVNI-0639;1;especie;argumento;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; idea;argumento;estos nuevos órdenes particulares que se les da a las imágenes, se volverán un tipo de argumento.;;;;;;;;;;;;;;;;;;
PVNI-0649;1;especie;capricho;SUSTANTIVO COMPUESTO;de PVNIS;sí;placentero;mucha;sensación;capricho;había podido hacerlo, y ahora la imagen del fuego y la sensación de leños crepitando se volvía una especie de capricho. ;;;;;;;;;;;;;;;;;;
PVNI-0654;1;especie;círculo;SUSTANTIVO COMPUESTO;de PVNIS;sí;repetitivo;mucha; asunto;círculo;El asunto se vuelve una especie de círculo vicioso,;;;;;;;;;;;;;;;;;;
PVNI-0666;1;especie;Conde Drácula;SUSTANTIVO COMPUESTO;de PVNIS;sí;maldta, decrépita, inmortal;mucha; mujer;conde drácula;Era muy posible que, después de tanto esfuerzo por ayudar a su esposo, Edelmira se volviera una especie de Conde Drácula, condenada a permanecer en esta vida sin tener la gracia de morir alguna vez. ;;;;;;;;;;;;;;;;;;
PVNI-0674;1;especie;detective;SUSTANTIVO COMPUESTO;de PVNIS;sí;celosa;poca;persona;detective;ella también hizo algunos cambios: se volvió una especie de detective de su marido porque no podía pagar uno;;;;;;;;;;;;;;;;;;
PVNI-0691;1;especie;ermitaño;SUSTANTIVO COMPUESTO;de PVNIS;sí;solitario, aislado;poca;persona;ermitaño;Desde que el dermatólogo me prohibió el sol, me volví una especie de ermitaño. ;;;;;;;;;;;;;;;;;;
PVNI-0744;1;especie;Ishi;SUSTANTIVO COMPUESTO;de PVNIS;sí;guerrero;poca;persona;ishi;no paraba de dar machetazos imaginarios a diestra y a siniestra, con lo que decapitó cientos de cucarachas voladoras, se volvió una especie de Ishi, ;;;;;;;;;;;;;;;;;;
PVNI-0773;1;especie;premio;SUSTANTIVO COMPUESTO;de PVNIS;sí;reconfortante;mucha; sonrisa;premio;Absurdamente, su sonrisa se volvía una especie de premio o de ofrenda.;;;;;;;;;;;;;;;;;;
PVNI-0775;1;especie;prisma;SUSTANTIVO COMPUESTO;de PVNIS;sí;reflectante;mucha; agua;prisma;señaló, porque esa cantidad de agua acumulada se vuelve una especie de prisma de cristal ;;;;;;;;;;;;;;;;;;
PVNI-0780;1;especie;regaño;SUSTANTIVO COMPUESTO;de PVNIS;sí;incómoda, dañina;poca; plática;regaño;una plática que aspiraba a la transmisión de consejos y experiencia, pero que tristemente se volvió una especie de regaño presuntuoso de parte del jazzista;;;;;;;;;;;;;;;;;;
PVNI-0791;1;especie;ruido;SUSTANTIVO COMPUESTO;de PVNIS;sí;molesto;mucha;calor;ruido;cuando la calor apretaba hasta volverse una especie de ruido de fondo que se confundía con el canto de las cigarras.;;;;;;;;;;;;;;;;;;
PVNI-0802;1;especie;tejedora;SUSTANTIVO COMPUESTO;de PVNIS;sí;tejedora, artista;poca;persona;oficio;"La artista también quiso volverse una especie de ""tejedora"" maya en vidrio";;;;;;;;;;;;;;;;;;
PVNI-0803;1;especie;testimonio;SUSTANTIVO COMPUESTO;de PVNIS;sí;acreditativa, justificativa;poca;imagen;testimonio;incluso la cultura fotográfica, que con cada imagen se vuelve una especie de testimonio-fachada-fetiche de la sociedad de principios de siglo XX.;;;;;;;;;;;;;;;;;;
